Link,Цена,Пешком до метро,Станция метро,Общая площадь,Жилая площадь,Площадь кухни,Высота потолков,Санузел,Балкон/лоджия,Ремонт,Год постройки,Строительная серия,Тип дома,Районы,Округа,В квартире есть,Залог,Срок аренды,Апартаменты,Кол-во комнат
https://www.cian.ru/rent/flat/302167772/,45000.0,14.0,Савёловская,40.0,21.0,9.0,3.0,1.0,0.0,Евроремонт,1957.0,Индивидуальный проект,Кирпичный,Савеловский район,САО,"['Холодильник', 'Стиральная машина', 'Интернет', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",45000,от года,0,1
https://www.cian.ru/rent/flat/302105052/,45000.0,16.0,Люблино,38.0,22.0,8.0,2.64,1.0,1.0,Евроремонт,2002.0,П-44Т,Панельный,Люблино,ЮВАО,"['Холодильник', 'Посудомоечная машина', 'Стиральная машина', 'Кондиционер', 'Телевизор', 'Интернет', 'Душевая кабина', 'Мебель на кухне', ""Мебель в комнатах']""]",45000,от года,0,1
https://www.cian.ru/rent/flat/301890138/,42000.0,11.0,Солнцево,38.8,21.0,9.0,2.64,1.0,2.0,Косметический,1982.0,П-46,Панельный,Солнцево,ЗАО,"['Холодильник', 'Стиральная машина', 'Телевизор', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",42000,от года,0,1
https://www.cian.ru/rent/flat/302127541/,45000.0,9.0,Волжская,38.0,18.0,10.0,3.05,1.0,1.0,Евроремонт,2013.0,Индивидуальный проект,Монолитный,Северное Бутово,ЮАО,"['Холодильник', 'Стиральная машина', 'Телевизор', 'Интернет', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",45000,от года,0,1
https://www.cian.ru/rent/flat/302097957/,45000.0,8.0,Долгопрудная,37.0,21.0,12.0,2.7,1.0,1.0,Евроремонт,2019.0,Индивидуальный проект,Панельный,Долгопрудный городской округ,Московская область,"['Холодильник', 'Стиральная машина', 'Интернет', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",45000,от года,0,1
https://www.cian.ru/rent/flat/301952023/,45000.0,7.0,Царицыно,52.1,30.5,10.0,2.7,1.0,1.0,Евроремонт,1983.0,П-47,Панельный,'р-н Бирюлево Восточное',ЮАО,"['Холодильник', 'Посудомоечная машина', 'Стиральная машина', 'Телевизор', 'Интернет', 'Мебель на кухне', ""Мебель в комнатах']""]",45000,от года,0,2
https://www.cian.ru/rent/flat/301974559/,47000.0,10.0,Люблино,34.8,19.0,6.9,2.74,1.0,1.0,Евроремонт,2001.0,П-44Т,Панельный,Люблино,ЮВАО,"['Холодильник', 'Стиральная машина', 'Кондиционер', 'Телевизор', 'Интернет', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",47000,от года,0,1
https://www.cian.ru/rent/flat/301530742/,47000.0,9.0,Севастопольская,45.0,30.0,6.0,2.48,1.0,1.0,Косметический,1963.0,1-510,Блочный,Чертаново Северное,ЮАО,"['Холодильник', 'Стиральная машина', 'Интернет', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",47000,от года,0,2
https://www.cian.ru/rent/flat/301148550/,47000.0,8.0,Бульвар Рокоссовского,25.0,16.0,4.0,2.7,1.0,1.0,Евроремонт,2002.0,Индивидуальный проект,Монолитный,Измайлово,ВАО,"['Холодильник', 'Стиральная машина', 'Кондиционер', 'Телевизор', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",47000,от года,0,студия
https://www.cian.ru/rent/flat/301965825/,50000.0,3.0,Чертановская,43.0,25.0,9.0,2.64,1.0,1.0,Евроремонт,1989.0,П-44,Монолитный,Чертаново Центральное,ЮАО,"['Холодильник', 'Посудомоечная машина', 'Стиральная машина', 'Кондиционер', 'Телевизор', 'Интернет', 'Ванна', 'Мебель на кухне', ""Мебель в комнатах']""]",50000,от года,0,1
