Link,Цена,Пешком до метро,Станция метро,Адрес,Общая площадь,Жилая площадь,Площадь кухни,Высота потолков,Санузел,Балкон/лоджия,Ремонт,Год постройки,Строительная серия,Тип дома,Аварийность,доп инфа
https://www.cian.ru/rent/flat/301681276/,79000,17 мин.,Рабочий посёлок,"['Москва', 'ЗАО', 'р-н Можайский', 'Рябиновая ул.', '3к3']","37,4",19,10,"2,65 м",1 совмещенный,1 лоджия,Евроремонт,2019,Индивидуальный проект,Монолитный,Нет,"Сдается 1-комн. квартира, 37,4 м²"
https://www.cian.ru/rent/flat/302091753/,75000,4 мин.,Кунцевская,"['Москва', 'ЗАО', 'р-н Можайский', 'пер. 2-й Петра Алексеева', '5']",33,16,12,"3,1 м",1 совмещенный,1 лоджия,Евроремонт,2021,Индивидуальный проект,Монолитный,Нет,"Сдается 1-комн. квартира, 33 м²"
https://www.cian.ru/rent/flat/300507704/,44400,5 мин.,Филатов Луг,"['Москва', 'Сосенское поселение', 'ул. Красулинская', '19']","19,6","10,6",4,3 м,1 совмещенный,,Евроремонт,2021,,Монолитный,Нет,"Сдается 1-комн. квартира, 19,6 м²"
https://www.cian.ru/rent/flat/301975816/,300000,4 мин.,Деловой центр,"['Москва', 'ЦАО', 'р-н Пресненский', '1-й Красногвардейский проезд', '15']",90,75,10,"3,2 м","1 совмещенный, 1 раздельный",,Дизайнерский,2013,,Монолитный,Нет,"Сдается 2-комн. апартаменты, 90 м²"
https://www.cian.ru/rent/flat/299333578/,ЮАССтрой,2 мин.,Деловой центр,"['Москва', 'ЦАО', 'р-н Пресненский', 'наб. Пресненская', '8с1']",105,,,3 м,1 совмещенный,,Дизайнерский,2010,,Монолитный,Нет,"Сдается 2-комн. апартаменты, 105 м²"
https://www.cian.ru/rent/flat/282625143/,33000,14 мин.,Перово,"['Москва', '2-я Владимирская ул.', '9А']",38,,,"2,64 м",,,Косметический,1961,1-515,Кирпичный,Нет,"Сдается 1-комн. квартира, 38 м²"
https://www.cian.ru/rent/flat/300329948/,110000,3 мин.,Беговая,"['Москва', 'САО', 'р-н Хорошевский', 'Хорошевское ш.', '16к2']",55,35,15,,1 совмещенный,1 лоджия,Евроремонт,2007,Индивидуальный проект,Монолитный,Нет,"Сдается 2-комн. квартира, 55 м²"
https://www.cian.ru/rent/flat/301914265/,90000,5 мин.,Университет,"['Москва', 'просп. Вернадского', '9/10']",60,39,10,"3,2 м",2 совмещенных,1 балкон,Дизайнерский,1956,Индивидуальный проект,Кирпичный,Нет,"Сдается 2-комн. квартира, 60 м²"
https://www.cian.ru/rent/flat/301945392/,34000,12 мин.,Бунинская аллея,"['Москва', 'Рязановское поселение', 'ул. Логинова', '5к1']",36,,15,"2,8 м",1 совмещенный,1 балкон,Евроремонт,2022,Индивидуальный проект,Блочный,Нет,"Сдается 1-комн. квартира, 36 м²"
https://www.cian.ru/rent/flat/301914259/,80000,8 мин.,Аэропорт,"['Москва', 'САО', 'р-н Аэропорт', 'ул. Черняховского', '9К5']",40,20,6,"2,7 м",1 совмещенный,1 лоджия,Евроремонт,1977,Башня Вулыха,Кирпичный,Нет,"Сдается 1-комн. квартира, 40 м²"
https://www.cian.ru/rent/flat/302058258/,200000,4 мин.,Трубная,"['Москва', 'пер. Колокольников', '6С1']","55,5",,10,"3,2 м",1 совмещенный,1 балкон,Дизайнерский,1951,Индивидуальный проект,Кирпичный,Нет,"Сдается 2-комн. квартира, 55,5 м²"
https://www.cian.ru/rent/flat/302060336/,55000,5 мин.,Тульская,"['Москва', 'ул. Серпуховский Вал', '6']",50,27,9,"2,48 м",1 раздельный,1 лоджия,Косметический,1974,,Панельный,Нет,"Сдается 2-комн. квартира, 50 м²"
https://www.cian.ru/rent/flat/300985040/,270000,9 мин.,Арбатская,"['Москва', 'ЦАО', 'р-н Арбат', 'ул. Новый Арбат', '15']",40,15,15,"3,2 м",1 совмещенный,,Дизайнерский,,,,,"Сдается 2-комн. апартаменты, 40 м²"
https://www.cian.ru/rent/flat/301809593/,220000,5 мин.,Деловой центр,"['Москва', 'ЦАО', 'р-н Пресненский', '1-й Красногвардейский проезд', '22с1']",75,45,12,,"1 совмещенный, 1 раздельный",,Дизайнерский,,,,,"Сдается 2-комн. апартаменты, 75 м²"
https://www.cian.ru/rent/flat/302011252/,65000,1 мин.,Профсоюзная,"['Москва', 'Профсоюзная ул.', '19']",50,35,10,"2,64 м",1 совмещенный,1 лоджия,Евроремонт,1960,Индивидуальный проект,Кирпичный,Нет,"Сдается 2-комн. квартира, 50 м²"
https://www.cian.ru/rent/flat/300941047/,90000,4 мин.,Текстильщики,"['Москва', 'ЮВАО', 'р-н Текстильщики', '1-й Грайвороновский проезд', '13к1']","50,9","24,6",21,"2,7 м",1 раздельный,,Евроремонт,2023,,,Нет,"Сдается 2-комн. квартира, 50,9 м²"
https://www.cian.ru/rent/flat/296556608/,550000,8 мин.,Новослободская,"['Москва', 'ЦАО', 'р-н Тверской', 'ул. Фадеева', '4А']",70,50,15,,1 совмещенный,1 балкон,Дизайнерский,2013,Индивидуальный проект,Монолитно-кирпичный,Нет,"Сдается 2-комн. квартира, 70 м²"
https://www.cian.ru/rent/flat/302068412/,ID,7 мин.,Аэропорт Внуково,"['Москва', 'НАО (Новомосковский)', 'Внуковское поселение', 'ул. Летчика Ульянина', '7']",20,,,,1 совмещенный,1 лоджия,Евроремонт,,,,,"Сдается 1-комн. квартира, 20 м²"
https://www.cian.ru/rent/flat/301593971/,250000,5 мин.,Деловой центр,"['Москва', '1-й Красногвардейский проезд', '22с1']","79,4",,,,"1 совмещенный, 1 раздельный",,Дизайнерский,,,,,"Сдается 2-комн. апартаменты, 79,4 м²"
https://www.cian.ru/rent/flat/296313274/,109900,10 мин.,ЦСКА,"['Москва', 'САО', 'р-н Хорошевский', 'Ходынский бул.', '20А']",47,40,,3 м,1 совмещенный,1 лоджия,Дизайнерский,2017,,Монолитный,Нет,"Сдается 2-комн. апартаменты, 47 м²"
https://www.cian.ru/rent/flat/301596016/,29700,7 мин.,Бунинская аллея,"['Москва', 'Коммунарка поселок', 'ул. Александры Монаховой', '85к2']",23,14,4,"2,6 м",1 совмещенный,,Евроремонт,2023,,,Нет,"Сдается 1-комн. квартира, 23 м²"
https://www.cian.ru/rent/flat/291744024/,300000,4 мин.,Деловой центр,"['Москва', 'ЦАО', 'р-н Пресненский', 'наб. Пресненская', '8с1']",105,,,3 м,"1 совмещенный, 1 раздельный",,Дизайнерский,2010,,Монолитный,Нет,"Сдается 2-комн. апартаменты, 105 м²"
https://www.cian.ru/rent/flat/291385494/,75000,11 мин.,Технопарк,"['Москва', 'просп. Лихачева', '12к2']",29,25,4,"3,3 м",1 совмещенный,,Дизайнерский,2022,Индивидуальный проект,Монолитный,Нет,"Сдается Студия, 29 м²"
https://www.cian.ru/rent/flat/301910642/,45000,2 мин.,Моссельмаш,"['Москва', 'Солнечногорский проезд', '17']",20,14,3,,1 совмещенный,,Евроремонт,,,,,"Сдается 1-комн. квартира, 20 м²"
https://www.cian.ru/rent/flat/301447045/,160000,5 мин.,Ломоносовский проспект,"['Москва', 'ЗАО', 'р-н Раменки', 'Ломоносовский просп.', '29К2']",75,,,3 м,1 совмещенный,1 лоджия,Дизайнерский,2006,Индивидуальный проект,Монолитный,Нет,"Сдается 2-комн. квартира, 75 м²"
https://www.cian.ru/rent/flat/301850088/,60000,5 мин.,Пятницкое шоссе,"['Москва', 'СЗАО', 'р-н Митино', 'Пятницкое ш.', '43К1']",55,32,10,3 м,1 раздельный,1 лоджия,Дизайнерский,1992,П-44,Панельный,Нет,"Сдается 2-комн. квартира, 55 м²"
https://www.cian.ru/rent/flat/302018977/,62000,15 мин.,Профсоюзная,"['Москва', 'Большая Черемушкинская ул.', '40К2']",30,20,5,,1 совмещенный,,Евроремонт,1953,Индивидуальный проект,Кирпичный,Нет,"Сдается 1-комн. квартира, 30 м²"
https://www.cian.ru/rent/flat/302001036/,300000,4 мин.,Деловой центр,"['Москва', 'ЦАО', 'р-н Пресненский', '1-й Красногвардейский проезд', '15']","101,7",,,"3,2 м","1 совмещенный, 1 раздельный",,Дизайнерский,2013,,Монолитный,Нет,"Сдается 2-комн. апартаменты, 101,7 м²"
https://www.cian.ru/rent/flat/302063138/,Людмила,5 мин.,Деловой центр,"['Москва', 'ЦАО', 'р-н Пресненский', '1-й Красногвардейский проезд', '22с1']",50,,,,1 совмещенный,,Дизайнерский,,,,,"Сдается Апартаменты-студия, 50 м²"
https://www.cian.ru/rent/flat/301458445/,Антон,6 мин.,Молодёжная,"['Москва', 'ЗАО', 'р-н Кунцево', 'Оршанская ул.', '8К1']","45,5",30,5,"2,64 м",1 совмещенный,1 балкон,Косметический,1964,1-515,Панельный,Нет,"Сдается 2-комн. квартира, 45,5 м²"
https://www.cian.ru/rent/flat/301852575/,44000,9 мин.,Моссельмаш,"['Москва', 'САО', 'р-н Головинский', 'Зеленоградская ул.', '7']","34,7","19,7",10,"2,7 м",1 совмещенный,1 балкон,Евроремонт,1970,II-18,Блочный,Нет,"Сдается 1-комн. квартира, 34,7 м²"
https://www.cian.ru/rent/flat/302176375/,39000,18 мин.,Беломорская,"['Москва', 'Синявинская ул.', '11к11']","36,9","17,7",11,"2,6 м",1 совмещенный,1 лоджия,Евроремонт,2013,,Монолитный,Нет,"Сдается 1-комн. квартира, 36,9 м²"
https://www.cian.ru/rent/flat/300983457/,49990,7 мин.,Владыкино,"['Москва', 'Ботаническая ул.', '41К7']",25,,,"3,2 м",1 совмещенный,,Евроремонт,2019,,Монолитный,Нет,"Сдается Апартаменты-студия, 25 м²"
https://www.cian.ru/rent/flat/301542742/,122500,7 мин.,Марксистская,"['Москва', 'ЦАО', 'р-н Таганский', 'Большой Факельный пер.', '9/11']",33,17,8,"3,5 м",1 совмещенный,,Дизайнерский,1914,Индивидуальный проект,Блочный,Нет,"Сдается 1-комн. квартира, 33 м²"
https://www.cian.ru/rent/flat/301507562/,62900,18 мин.,Коломенская,"['Москва', 'ЮАО', 'р-н Нагатино-Садовники', '2-й Нагатинский проезд', '2/2к1']","19,8","9,8",5,"2,7 м",1 совмещенный,,Евроремонт,2023,,,Нет,"Сдается Студия, 19,8 м²"
https://www.cian.ru/rent/flat/302006305/,65000,6 мин.,Москва-Сити,"['Москва', 'Кутузовский просп.', '24']",50,25,10,3 м,1 совмещенный,,Евроремонт,1945,Индивидуальный проект,Кирпичный,Нет,"Сдается 1-комн. квартира, 50 м²"
https://www.cian.ru/rent/flat/301930194/,90000,7 мин.,Багратионовская,"['Москва', 'ул. Василисы Кожиной', '13']",45,,,3 м,1 совмещенный,,Дизайнерский,2019,,Монолитный,Нет,"Сдается 2-комн. квартира, 45 м²"
https://www.cian.ru/rent/flat/301977247/,300000,13 мин.,Аэропорт,"['Москва', 'САО', 'р-н Хорошевский', 'Ленинградский просп.', '37/3']",64,39,20,"3,1 м",,,Дизайнерский,2022,Индивидуальный проект,,Нет,"Сдается 2-комн. квартира, 64 м²"
https://www.cian.ru/rent/flat/300623814/,35000,21 мин.,Коммунарка,"['Москва', 'Десеновское поселение', 'Ватутинки поселок', 'Рашен Дизайн Дистрикт жилой комплекс', 'к4А']",28,14,,,1 совмещенный,1 лоджия,Евроремонт,,,,,"Сдается Студия, 28 м²"
https://www.cian.ru/rent/flat/301088593/,250000,9 мин.,Улица 1905 года,"['Москва', 'ЦАО', 'р-н Пресненский', 'ул. Костикова', '4к4']",70,57,8,,1 раздельный,,Дизайнерский,2023,,,Нет,"Сдается 2-комн. квартира, 70 м²"
